InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category
INV100895,CLO6491,Sneakers,1,2023-01-03,31.4,10122.0,United Kingdom,Clothing
INV101577,ELE3022,Laptop,2,2023-01-03,212.28,10412.0,Netherlands,Electronics
INV104687,BOO1915,Textbook,10,2023-01-03,36.44,10188.0,United Kingdom,Books
INV104845,TOY9050,Doll,10,2023-01-03,22.09,10407.0,United Kingdom,Toys
INV102677,BOO5242,Fiction Book,2,2023-01-03,31.55,10157.0,United Kingdom,Books
INV104131,HOM2607,Vase,1,2023-01-03,97.48,10141.0,United Kingdom,Home & Garden
INV102731,CLO6595,Sneakers,5,2023-01-03,108.52,10086.0,Germany,Clothing
INV103769,CLO2543,Hat,5,2023-01-03,184.96,10117.0,United Kingdom,Clothing
INV101518,ELE3933,Keyboard,2,2023-01-03,161.9,10432.0,United Kingdom,Electronics
INV104205,HOM8354,Garden Tools,1,2023-01-03,133.42,10246.0,United Kingdom,Home & Garden
INV102657,BOO9503,Textbook,3,2023-01-03,20.44,,United Kingdom,Books
INV102321,ELE5649,Mouse,1,2023-01-03,298.12,10275.0,Germany,Electronics
INV101486,HOM7802,Vase,5,2023-01-04,64.96,,United Kingdom,Home & Garden
INV100968,CLO1943,Scarf,4,2023-01-04,150.26,10197.0,France,Clothing
INV102728,ELE4730,Headphones,12,2023-01-04,101.12,10337.0,United Kingdom,Electronics
INV101328,BOO2689,Comic Book,1,2023-01-04,17.51,10138.0,United Kingdom,Books
INV100948,CLO7986,Sneakers,2,2023-01-04,181.09,10250.0,France,Clothing
INV101911,CLO7461,Jeans,2,2023-01-04,46.97,10113.0,United Kingdom,Clothing
INV100325,ELE6882,Headphones,1,2023-01-04,663.26,10106.0,United Kingdom,Electronics
INV104104,TOY7394,Puzzle,2,2023-01-04,23.85,10222.0,United Kingdom,Toys
INV101723,BOO5782,Comic Book,2,2023-01-04,25.82,10029.0,United Kingdom,Books
INV103077,TOY5784,Board Game,24,2023-01-04,60.59,10097.0,Spain,Toys
INV100496,ELE9274,Webcam,4,2023-01-04,769.97,10300.0,United Kingdom,Electronics
INV103866,BOO6167,Magazine,3,2023-01-04,26.14,10220.0,United Kingdom,Books
INV102281,ELE9031,Headphones,1,2023-01-05,708.3,10050.0,Germany,Electronics
INV100415,CLO8465,Dress,1,2023-01-05,179.83,10243.0,United Kingdom,Clothing
INV103907,BOO3968,Fiction Book,3,2023-01-05,34.87,10403.0,United Kingdom,Books
INV104797,TOY9796,Doll,3,2023-01-05,35.23,10084.0,Spain,Toys
INV102909,BOO2519,Magazine,1,2023-01-05,48.96,10399.0,Germany,Books
INV102330,CLO3276,T-Shirt,4,2023-01-05,166.41,10413.0,France,Clothing
INV100842,BOO5366,Non-Fiction Book,2,2023-01-05,30.58,10231.0,United Kingdom,Books
INV101561,TOY8939,Puzzle,3,2023-01-05,46.49,10312.0,Germany,Toys
INV101044,CLO2672,Jacket,3,2023-01-05,120.86,10216.0,Germany,Clothing
INV102051,BOO1023,Fiction Book,1,2023-01-05,17.39,10092.0,United Kingdom,Books
INV100613,TOY8124,Puzzle,3,2023-01-05,27.7,10021.0,United Kingdom,Toys
INV101091,BOO7854,Comic Book,1,2023-01-05,13.7,10206.0,Switzerland,Books
INV100720,CLO9283,Sneakers,4,2023-01-05,144.67,10268.0,United Kingdom,Clothing
INV100128,BOO9095,Magazine,1,2023-01-05,29.95,10477.0,United Kingdom,Books
INV102431,TOY7412,Building Blocks,1,2023-01-05,62.33,10077.0,United Kingdom,Toys
INV104270,HOM8285,Lamp,10,2023-01-05,25.14,10275.0,United Kingdom,Home & Garden
INV103494,HOM4746,Picture Frame,10,2023-01-05,58.86,10459.0,United Kingdom,Home & Garden
INV103477,BOO1375,Textbook,3,2023-01-05,12.88,10225.0,United Kingdom,Books
INV104663,BOO9062,Non-Fiction Book,4,2023-01-06,16.88,10179.0,France,Books
INV100934,TOY9249,Building Blocks,2,2023-01-06,67.36,10417.0,France,Toys
INV103931,HOM9550,Plant Pot,1,2023-01-06,73.65,10110.0,United Kingdom,Home & Garden
INV104537,TOY9154,Puzzle,3,2023-01-06,69.26,10135.0,United Kingdom,Toys
INV100741,HOM6176,Garden Tools,2,2023-01-06,133.62,10172.0,United Kingdom,Home & Garden
INV100334,TOY4138,Building Blocks,1,2023-01-06,63.94,10404.0,Germany,Toys
INV100964,HOM6544,Cushion,1,2023-01-06,69.8,10442.0,United Kingdom,Home & Garden
INV104308,TOY2694,Building Blocks,3,2023-01-06,36.17,10004.0,Spain,Toys
INV102862,TOY7211,Doll,10,2023-01-07,41.94,10304.0,United Kingdom,Toys
INV102467,CLO1811,Sneakers,1,2023-01-07,131.8,10012.0,United Kingdom,Clothing
INV104616,BOO2654,Comic Book,2,2023-01-07,21.73,10445.0,Germany,Books
INV102381,BOO7540,Non-Fiction Book,2,2023-01-07,22.49,10485.0,United Kingdom,Books
INV101714,ELE2831,Monitor,1,2023-01-07,577.81,10369.0,United Kingdom,Electronics
INV101462,ELE5299,USB Cable,1,2023-01-07,250.47,10162.0,Germany,Electronics
INV103379,TOY5352,Board Game,12,2023-01-07,52.59,10396.0,United Kingdom,Toys
INV100605,CLO4083,Jeans,1,2023-01-07,187.35,10230.0,United Kingdom,Clothing
INV104372,TOY2744,Puzzle,3,2023-01-07,49.44,10063.0,Germany,Toys
INV101650,HOM2773,Cushion,2,2023-01-07,69.66,10188.0,United Kingdom,Home & Garden
INV101277,ELE7214,Mouse,1,2023-01-07,260.02,10039.0,United Kingdom,Electronics
INV100894,ELE5402,Headphones,2,2023-01-07,561.75,10342.0,United Kingdom,Electronics
INV104253,ELE4044,Laptop,2,2023-01-07,648.48,10092.0,United Kingdom,Electronics
INV101859,TOY7609,Action Figure,2,2023-01-07,31.39,10234.0,United Kingdom,Toys
INV104945,TOY7772,Doll,1,2023-01-07,45.46,10189.0,Australia,Toys
INV103836,ELE8082,Webcam,1,2023-01-07,87.3,10071.0,Germany,Electronics
INV102966,BOO2082,Fiction Book,1,2023-01-08,43.48,10337.0,Germany,Books
INV103977,TOY9560,Building Blocks,1,2023-01-08,49.22,10080.0,United Kingdom,Toys
INV103933,BOO6495,Non-Fiction Book,3,2023-01-08,34.19,10367.0,United Kingdom,Books
INV102989,CLO4722,Sneakers,5,2023-01-08,102.93,10289.0,United Kingdom,Clothing
INV100687,HOM5567,Plant Pot,1,2023-01-08,51.32,10074.0,Spain,Home & Garden
INV101250,BOO6781,Non-Fiction Book,2,2023-01-08,15.59,10045.0,France,Books
INV101941,TOY9592,Building Blocks,2,2023-01-08,18.43,10032.0,United Kingdom,Toys
INV103181,HOM9558,Cushion,2,2023-01-08,70.49,10342.0,France,Home & Garden
INV102044,TOY7991,Action Figure,1,2023-01-08,27.86,10200.0,United Kingdom,Toys
INV103288,CLO8319,T-Shirt,2,2023-01-08,179.66,10277.0,Netherlands,Clothing
INV101764,TOY3793,Board Game,1,2023-01-08,26.4,10163.0,United Kingdom,Toys
INV103475,TOY2769,Building Blocks,2,2023-01-08,51.36,10468.0,United Kingdom,Toys
INV103980,ELE8436,Mouse,2,2023-01-08,43.17,10180.0,United Kingdom,Electronics
INV100875,ELE4549,Headphones,1,2023-01-08,537.18,10472.0,United Kingdom,Electronics
INV102565,BOO2803,Comic Book,3,2023-01-08,20.79,10480.0,United Kingdom,Books
INV104935,TOY3377,Action Figure,1,2023-01-08,22.77,,Belgium,Toys
INV104743,CLO1810,Jacket,1,2023-01-08,24.31,10196.0,Germany,Clothing
INV100828,HOM5042,Cushion,4,2023-01-08,108.32,10329.0,United Kingdom,Home & Garden
INV102543,BOO6122,Textbook,10,2023-01-08,21.39,10323.0,United Kingdom,Books
INV101319,BOO1440,Magazine,1,2023-01-09,15.54,10163.0,United Kingdom,Books
INV104166,BOO6830,Magazine,6,2023-01-09,44.8,10024.0,United Kingdom,Books
INV102203,CLO5889,Jeans,5,2023-01-09,45.69,10393.0,United Kingdom,Clothing
INV100097,TOY2716,Puzzle,1,2023-01-09,40.49,10027.0,Netherlands,Toys
INV101597,HOM2074,Lamp,2,2023-01-09,66.28,10295.0,United Kingdom,Home & Garden
INV101783,TOY4215,Action Figure,1,2023-01-09,24.6,10016.0,United Kingdom,Toys
INV100601,HOM1882,Plant Pot,3,2023-01-09,19.14,10247.0,United Kingdom,Home & Garden
INV101843,HOM9104,Garden Tools,3,2023-01-09,134.11,10087.0,United Kingdom,Home & Garden
INV100269,BOO3799,Magazine,2,2023-01-09,20.59,10075.0,Germany,Books
INV101567,CLO8714,Dress,5,2023-01-09,102.16,10409.0,United Kingdom,Clothing
INV103651,ELE5270,Monitor,4,2023-01-10,394.68,10146.0,Germany,Electronics
INV102683,TOY4055,Doll,1,2023-01-10,65.31,10148.0,United Kingdom,Toys
INV104168,BOO2586,Magazine,3,2023-01-10,16.62,10446.0,United Kingdom,Books
INV100714,CLO4555,Scarf,1,2023-01-10,120.8,10015.0,United Kingdom,Clothing
INV102601,TOY2521,Doll,1,2023-01-10,15.66,10028.0,Spain,Toys
INV101972,HOM4708,Cushion,1,2023-01-10,39.02,10426.0,United Kingdom,Home & Garden
INV101003,TOY7363,Action Figure,2,2023-01-10,10.61,,United Kingdom,Toys
INV104015,TOY8048,Doll,3,2023-01-10,39.29,10201.0,United Kingdom,Toys
INV100484,CLO5284,Scarf,3,2023-01-10,15.96,10073.0,United Kingdom,Clothing
INV101090,BOO2386,Fiction Book,1,2023-01-10,8.77,10347.0,United Kingdom,Books
INV102205,TOY9348,Action Figure,2,2023-01-10,52.75,10492.0,United Kingdom,Toys
INV102524,HOM1279,Cushion,1,2023-01-10,107.79,10246.0,France,Home & Garden
INV104577,HOM7365,Plant Pot,2,2023-01-11,145.5,10156.0,Spain,Home & Garden
INV102240,TOY8145,Puzzle,6,2023-01-11,50.63,10477.0,United Kingdom,Toys
INV103725,TOY1949,Puzzle,1,2023-01-11,29.34,10310.0,United Kingdom,Toys
INV101292,CLO7131,Dress,2,2023-01-11,106.16,10410.0,United Kingdom,Clothing
INV101801,CLO6292,Jacket,3,2023-01-11,12.75,,Switzerland,Clothing
INV104975,HOM1325,Garden Tools,3,2023-01-11,85.94,10356.0,United Kingdom,Home & Garden
INV101379,BOO4175,Non-Fiction Book,1,2023-01-11,20.69,10150.0,Spain,Books
INV103942,BOO6717,Non-Fiction Book,1,2023-01-11,19.24,10304.0,United Kingdom,Books
INV101538,CLO2832,Jacket,2,2023-01-11,24.87,10206.0,USA,Clothing
INV101122,BOO2888,Textbook,4,2023-01-11,40.18,10117.0,United Kingdom,Books
INV102600,CLO8401,Scarf,2,2023-01-11,46.75,10216.0,Germany,Clothing
INV101700,BOO7092,Comic Book,6,2023-01-12,27.26,10219.0,United Kingdom,Books
INV102412,HOM3567,Picture Frame,1,2023-01-12,33.96,,United Kingdom,Home & Garden
INV104263,CLO8055,Jeans,6,2023-01-12,110.18,10233.0,France,Clothing
INV100681,ELE3911,Webcam,1,2023-01-12,260.07,10398.0,United Kingdom,Electronics
INV103840,TOY8413,Puzzle,2,2023-01-12,11.84,10120.0,United Kingdom,Toys
INV100518,ELE9320,Monitor,3,2023-01-12,327.26,10213.0,Switzerland,Electronics
INV102368,CLO8896,Dress,4,2023-01-12,169.73,10024.0,United Kingdom,Clothing
INV102133,CLO1910,Dress,4,2023-01-12,157.73,10313.0,United Kingdom,Clothing
INV100851,TOY3311,Doll,1,2023-01-12,74.64,10475.0,United Kingdom,Toys
INV102999,CLO2620,Sneakers,2,2023-01-12,60.59,10444.0,United Kingdom,Clothing
INV103498,HOM3394,Lamp,-2,2023-01-12,45.48,10231.0,Spain,Home & Garden
INV102695,CLO9772,Jeans,1,2023-01-12,160.94,10131.0,United Kingdom,Clothing
INV101667,ELE1456,Laptop,2,2023-01-12,263.15,10113.0,Netherlands,Electronics
INV101870,TOY6957,Doll,2,2023-01-12,50.47,10015.0,United Kingdom,Toys
INV102020,TOY9721,Building Blocks,2,2023-01-12,29.13,10249.0,United Kingdom,Toys
INV101433,BOO5759,Fiction Book,1,2023-01-12,49.04,10361.0,United Kingdom,Books
INV102318,CLO2469,Scarf,3,2023-01-12,61.59,10365.0,United Kingdom,Clothing
INV101872,BOO2203,Comic Book,3,2023-01-12,27.76,10055.0,Spain,Books
INV101754,HOM9007,Vase,2,2023-01-12,31.83,10004.0,United Kingdom,Home & Garden
INV101423,CLO5366,T-Shirt,2,2023-01-12,170.99,10448.0,United Kingdom,Clothing
INV103667,ELE5840,Laptop,2,2023-01-12,468.8,10443.0,United Kingdom,Electronics
INV102484,ELE7618,Keyboard,6,2023-01-13,635.28,10284.0,United Kingdom,Electronics
INV101670,ELE5299,Laptop,4,2023-01-13,797.75,10212.0,Netherlands,Electronics
INV100378,HOM3387,Garden Tools,1,2023-01-13,110.51,10217.0,United Kingdom,Home & Garden
INV103542,HOM1209,Cushion,2,2023-01-13,128.86,10148.0,United Kingdom,Home & Garden
INV100554,HOM1495,Garden Tools,1,2023-01-13,60.46,10350.0,United Kingdom,Home & Garden
INV103621,HOM5470,Cushion,5,2023-01-13,78.4,10366.0,Germany,Home & Garden
INV100151,BOO1808,Comic Book,4,2023-01-13,20.38,10039.0,Germany,Books
INV101007,TOY8422,Building Blocks,1,2023-01-13,10.85,10373.0,United Kingdom,Toys
INV103721,BOO4480,Non-Fiction Book,1,2023-01-13,21.01,10406.0,United Kingdom,Books
INV104238,HOM6376,Cushion,2,2023-01-13,58.25,10250.0,United Kingdom,Home & Garden
INV100916,ELE1719,Monitor,12,2023-01-13,505.27,10156.0,United Kingdom,Electronics
INV103793,TOY6751,Puzzle,3,2023-01-13,19.69,10453.0,United Kingdom,Toys
INV103781,TOY9520,Board Game,6,2023-01-13,11.42,10335.0,France,Toys
INV103748,CLO9741,Dress,10,2023-01-13,175.02,10396.0,United Kingdom,Clothing
INV104923,BOO7697,Fiction Book,2,2023-01-13,39.23,10342.0,United Kingdom,Books
INV102689,TOY9585,Building Blocks,1,2023-01-13,36.79,10364.0,United Kingdom,Toys
INV100050,ELE3786,Monitor,2,2023-01-14,606.24,10410.0,United Kingdom,Electronics
INV102730,HOM9645,Plant Pot,1,2023-01-14,62.25,10258.0,Germany,Home & Garden
INV101869,ELE4083,Webcam,3,2023-01-14,652.5,10018.0,United Kingdom,Electronics
INV100885,CLO9488,Jeans,3,2023-01-14,148.56,10000.0,Germany,Clothing
INV102382,HOM2487,Plant Pot,3,2023-01-14,141.38,10164.0,United Kingdom,Home & Garden
INV103656,ELE2594,Laptop,1,2023-01-14,37.79,10412.0,France,Electronics
INV100891,BOO6231,Magazine,2,2023-01-14,19.21,10185.0,United Kingdom,Books
INV101946,ELE9930,Mouse,1,2023-01-14,769.29,10407.0,Germany,Electronics
INV104290,ELE5842,Keyboard,1,2023-01-14,564.96,10479.0,United Kingdom,Electronics
INV101472,BOO5537,Magazine,1,2023-01-14,8.83,,United Kingdom,Books
INV102470,TOY9713,Action Figure,2,2023-01-14,10.63,10185.0,France,Toys
INV101057,TOY3914,Doll,3,2023-01-14,73.41,10206.0,Spain,Toys
INV101318,HOM3440,Plant Pot,12,2023-01-14,18.07,10477.0,United Kingdom,Home & Garden
INV104880,ELE2897,Keyboard,6,2023-01-14,111.83,10064.0,United Kingdom,Electronics
INV100675,TOY8082,Puzzle,3,2023-01-14,65.24,10146.0,Germany,Toys
INV102697,TOY5176,Building Blocks,3,2023-01-14,71.3,10489.0,United Kingdom,Toys
INV101955,CLO7436,Sneakers,3,2023-01-14,32.14,10083.0,Netherlands,Clothing
INV101748,ELE7431,Mouse,5,2023-01-15,313.82,10263.0,United Kingdom,Electronics
INV100903,ELE7657,Headphones,1,2023-01-15,262.33,10126.0,United Kingdom,Electronics
INV103915,BOO6412,Fiction Book,1,2023-01-15,17.88,10116.0,United Kingdom,Books
INV101775,CLO3314,Hat,1,2023-01-15,167.47,10257.0,United Kingdom,Clothing
INV101103,BOO3001,Non-Fiction Book,5,2023-01-15,9.38,10376.0,United Kingdom,Books
INV101077,ELE6538,Keyboard,3,2023-01-15,146.85,10094.0,Spain,Electronics
INV101485,BOO1117,Textbook,3,2023-01-15,18.98,10094.0,United Kingdom,Books
INV103188,TOY5381,Building Blocks,1,2023-01-15,77.16,10372.0,Germany,Toys
INV100092,BOO9721,Magazine,4,2023-01-15,22.72,10105.0,United Kingdom,Books
INV100134,BOO3284,Textbook,4,2023-01-15,35.48,10378.0,Germany,Books
INV100497,ELE8995,Webcam,2,2023-01-16,369.34,10308.0,United Kingdom,Electronics
INV103001,TOY1191,Board Game,3,2023-01-16,24.98,10285.0,United Kingdom,Toys
INV101490,BOO5018,Textbook,3,2023-01-16,41.61,10413.0,United Kingdom,Books
INV103612,BOO5941,Comic Book,1,2023-01-16,16.25,10160.0,USA,Books
INV103161,HOM9031,Garden Tools,2,2023-01-16,37.2,10401.0,Spain,Home & Garden
INV104742,ELE9064,Laptop,5,2023-01-16,751.06,10070.0,United Kingdom,Electronics
INV104152,TOY3128,Building Blocks,2,2023-01-16,48.07,10089.0,United Kingdom,Toys
INV101454,ELE2695,Laptop,1,2023-01-16,114.45,10439.0,Spain,Electronics
INV103753,CLO5426,Scarf,3,2023-01-16,153.9,10019.0,Germany,Clothing
INV103841,TOY2686,Doll,2,2023-01-16,41.49,10341.0,United Kingdom,Toys
INV104423,HOM8307,Vase,2,2023-01-16,118.75,10227.0,United Kingdom,Home & Garden
INV102550,CLO1494,T-Shirt,4,2023-01-17,101.79,10244.0,Belgium,Clothing
INV101183,ELE5036,USB Cable,1,2023-01-17,616.96,10494.0,United Kingdom,Electronics
INV102516,BOO3653,Textbook,2,2023-01-17,28.37,10318.0,Spain,Books
INV101344,BOO9984,Non-Fiction Book,4,2023-01-17,36.09,10071.0,United Kingdom,Books
INV101699,CLO8632,T-Shirt,2,2023-01-17,84.89,10494.0,France,Clothing
INV102902,BOO9276,Magazine,3,2023-01-17,45.39,10242.0,United Kingdom,Books
INV100329,TOY2353,Action Figure,3,2023-01-17,11.78,10408.0,United Kingdom,Toys
INV104306,BOO5005,Fiction Book,1,2023-01-17,13.62,10366.0,United Kingdom,Books
INV104624,ELE2238,Webcam,6,2023-01-17,621.0,10251.0,United Kingdom,Electronics
INV103260,CLO5177,Sneakers,1,2023-01-17,80.75,10066.0,United Kingdom,Clothing
INV103500,ELE3234,Monitor,1,2023-01-17,371.71,10028.0,France,Electronics
INV104038,CLO6458,Dress,2,2023-01-17,177.67,10279.0,Switzerland,Clothing
INV101428,TOY6938,Doll,3,2023-01-17,29.02,10373.0,United Kingdom,Toys
INV103804,ELE8101,Webcam,1,2023-01-17,168.24,10039.0,Australia,Electronics
INV103879,HOM7991,Garden Tools,1,2023-01-17,77.8,10133.0,France,Home & Garden
INV101408,HOM5701,Lamp,2,2023-01-17,121.15,10108.0,Belgium,Home & Garden
INV101675,CLO1689,Jeans,1,2023-01-17,172.62,10195.0,United Kingdom,Clothing
INV104610,TOY5102,Building Blocks,3,2023-01-17,27.4,10252.0,Belgium,Toys
INV104562,BOO6781,Textbook,5,2023-01-18,39.62,10425.0,France,Books
INV101227,CLO4740,Hat,3,2023-01-18,23.31,10369.0,United Kingdom,Clothing
INV101935,CLO1890,Hat,1,2023-01-18,68.84,10450.0,United Kingdom,Clothing
INV102623,ELE7387,USB Cable,20,2023-01-18,481.35,10379.0,France,Electronics
INV100352,ELE3031,Mouse,4,2023-01-18,84.31,10076.0,United Kingdom,Electronics
INV104469,TOY4151,Building Blocks,1,2023-01-18,11.52,10357.0,United Kingdom,Toys
INV103278,TOY1084,Action Figure,1,2023-01-19,31.52,10143.0,United Kingdom,Toys
INV102219,BOO9269,Comic Book,12,2023-01-19,31.32,10075.0,United Kingdom,Books
INV104279,ELE4894,Headphones,1,2023-01-19,359.07,10169.0,United Kingdom,Electronics
INV101226,TOY1614,Puzzle,1,2023-01-19,53.28,10186.0,United Kingdom,Toys
INV103568,TOY7723,Puzzle,4,2023-01-19,12.21,10453.0,United Kingdom,Toys
INV100636,HOM1942,Lamp,20,2023-01-19,139.3,10495.0,United Kingdom,Home & Garden
INV102756,BOO3094,Magazine,1,2023-01-19,32.27,10424.0,United Kingdom,Books
INV100566,CLO8216,Dress,3,2023-01-19,187.08,10486.0,Switzerland,Clothing
INV104592,CLO5536,T-Shirt,3,2023-01-19,152.41,10410.0,United Kingdom,Clothing
INV103961,ELE7587,Laptop,6,2023-01-19,66.54,10265.0,United Kingdom,Electronics
INV102660,HOM2134,Plant Pot,6,2023-01-19,91.41,10273.0,France,Home & Garden
INV102097,TOY6493,Board Game,1,2023-01-19,51.1,10275.0,United Kingdom,Toys
INV104856,CLO6434,Scarf,4,2023-01-19,31.08,10265.0,United Kingdom,Clothing
INV102259,ELE4653,Webcam,3,2023-01-19,298.45,10438.0,Germany,Electronics
INV100671,BOO9167,Non-Fiction Book,3,2023-01-20,41.59,10175.0,United Kingdom,Books
INV104915,ELE4477,Headphones,6,2023-01-20,47.23,10117.0,United Kingdom,Electronics
INV100987,CLO4735,Jeans,2,2023-01-20,63.87,10177.0,United Kingdom,Clothing
INV101914,ELE7065,Keyboard,2,2023-01-20,641.55,10115.0,United Kingdom,Electronics
INV102420,TOY7746,Board Game,4,2023-01-20,58.0,10238.0,United Kingdom,Toys
INV102724,HOM5502,Picture Frame,4,2023-01-20,19.43,10028.0,Australia,Home & Garden
INV102007,CLO3274,Jeans,6,2023-01-20,175.43,10071.0,United Kingdom,Clothing
INV102699,HOM4770,Cushion,3,2023-01-20,132.32,10338.0,United Kingdom,Home & Garden
INV104334,HOM1724,Cushion,2,2023-01-20,85.04,10213.0,United Kingdom,Home & Garden
INV104680,HOM3203,Cushion,6,2023-01-20,34.94,10326.0,United Kingdom,Home & Garden
INV101296,TOY1105,Puzzle,1,2023-01-20,76.53,10373.0,United Kingdom,Toys
INV102711,CLO8332,Sneakers,5,2023-01-20,179.03,10344.0,United Kingdom,Clothing
INV101569,BOO5217,Magazine,4,2023-01-20,47.06,10156.0,Belgium,Books
INV102933,BOO8425,Comic Book,1,2023-01-20,26.37,10494.0,United Kingdom,Books
INV103496,BOO6769,Textbook,2,2023-01-20,21.46,10010.0,United Kingdom,Books
INV100383,BOO9219,Fiction Book,3,2023-01-20,29.95,10213.0,United Kingdom,Books
INV101740,ELE2212,Monitor,2,2023-01-21,139.46,10255.0,United Kingdom,Electronics
INV103452,TOY7606,Puzzle,1,2023-01-21,12.23,10494.0,Germany,Toys
INV103082,BOO4992,Comic Book,1,2023-01-21,28.91,10491.0,United Kingdom,Books
INV102859,BOO7533,Magazine,1,2023-01-21,10.43,10016.0,United Kingdom,Books
INV103777,TOY8775,Action Figure,12,2023-01-21,31.91,10330.0,United Kingdom,Toys
INV100006,CLO4183,Jacket,20,2023-01-21,65.95,10141.0,Germany,Clothing
INV102511,HOM7487,Plant Pot,1,2023-01-21,84.15,10320.0,Netherlands,Home & Garden
INV102876,TOY4238,Board Game,1,2023-01-21,73.64,10105.0,United Kingdom,Toys
INV102145,CLO4809,Sneakers,2,2023-01-21,36.89,10342.0,United Kingdom,Clothing
INV100044,TOY2756,Puzzle,6,2023-01-21,63.67,10203.0,United Kingdom,Toys
INV101937,TOY1740,Puzzle,3,2023-01-21,55.84,10220.0,United Kingdom,Toys
INV103730,HOM5021,Picture Frame,2,2023-01-21,114.31,10239.0,Netherlands,Home & Garden
INV103005,CLO1804,T-Shirt,1,2023-01-21,100.16,10456.0,Netherlands,Clothing
INV103639,TOY5911,Action Figure,4,2023-01-21,34.41,10100.0,Netherlands,Toys
INV104498,TOY5874,Puzzle,5,2023-01-21,75.55,10231.0,Germany,Toys
INV103195,ELE6297,Headphones,1,2023-01-21,434.28,10293.0,United Kingdom,Electronics
INV102911,ELE7457,Laptop,4,2023-01-22,312.37,10256.0,France,Electronics
INV104153,HOM6230,Cushion,4,2023-01-22,95.06,10130.0,United Kingdom,Home & Garden
INV103547,TOY4344,Puzzle,1,2023-01-22,26.12,10231.0,Netherlands,Toys
INV102640,CLO3292,Jacket,1,2023-01-22,170.98,10184.0,United Kingdom,Clothing
INV100846,HOM4749,Vase,1,2023-01-22,108.44,10141.0,Germany,Home & Garden
INV100307,HOM4715,Plant Pot,1,2023-01-22,82.53,10428.0,France,Home & Garden
INV101863,ELE1761,Laptop,2,2023-01-22,768.74,10360.0,United Kingdom,Electronics
INV101734,BOO2160,Magazine,1,2023-01-22,32.85,10308.0,United Kingdom,Books
INV104792,HOM4458,Picture Frame,5,2023-01-22,104.8,10147.0,France,Home & Garden
INV104662,HOM3552,Lamp,5,2023-01-22,126.22,10277.0,Belgium,Home & Garden
INV104250,BOO6392,Magazine,3,2023-01-22,24.39,10182.0,United Kingdom,Books
INV100025,BOO7901,Magazine,1,2023-01-22,39.82,10069.0,France,Books
